name	city	starts
David Výborný	Jihlava	12
František Kaberle	Kladno	10
Jaromír Jágr	Kladno	9
Martin Procházka	Slaný	8
Pavel Patera	Kladno	8
Milan Hnilička	Litoměřice	8
Petr Čáslava	Kolín	8
Jiří Dopita	Šumperk	8
Roman Čechmánek	Zlín	8
Jaroslav Hlinka	Praha	8
Jiří Novotný	Pelhřimov	8
Tomáš Plekanec	Kladno	7
Tomáš Rolinek	Ždár nad Sázavou	7
Jan Hejda	Praha	7
Robert Reichel	Litvínov	6
Jaroslav Špaček	Rokycany	6
Jan Hlaváč	Praha	6
Martin Ručinský	Most	6
Ondřej Němec	Třebíč	6
Petr Čajánek	Zlín	6
Marek Židlický	Most	6
Zbyněk Irgl	Ostrava	5
Jakub Klepiš	Praha	5
Roman Červenka	Praha	5
Petr Hubáček	Brno	5
David Moravec	Opava	5
Jiří Vykoukal	Olomouc	5
Viktor Ujčík	Jihlava	5
Zbyněk Michálek	Jindřichův Hradec	5
Richard Žemlička	Praha	4
Tomáš Vlasák	Praha	4
Roman Turek	Strakonice	4
Miroslav Blaťák	Zlín	4
Radek Dvořák	Tábor	4
Jiří Šlégr	Jihlava	4
Martin Richter	Prostějov	4
Ondřej Pavelec	Kladno	4
Martin Straka	Plzeň	4
Patrik Eliáš	Třebíč	4
Jan Marek	Jindřichův Hradec	4
Pavel Kubina	Čeladná	4
Radim Vrbata	Mladá Boleslav	4
Jakub Štěpánek	Vsetín	4
František Kučera	Praha	4
Josef Beránek	Litvínov	4
Jakub Kovář	Písek	4
Jakub Voráček	Kladno	4
Tomáš Kaberle	Rakovník	4
Martin Erat	Třebíč	4
Jiří Kučera	Plzeň	4
Petr Koukal	Ždár nad Sázavou	4
Tomáš Vokoun	Karlovy Vary	4
Petr Průcha	Chrudim	4
Milan Michálek	Jindřichův Hradec	4
Petr Tenkrát	Děčín	4
Adam Svoboda	Brno	4
Martin Prusek	Ostrava	4
Karel Rachůnek	Zlín	3
Michal Vondrka	České Budějovice	3
Roman Meluzín	Boskovice	3
Ladislav Benýšek	Olomouc	3
Václav Prospal	České Budějovice	3
Petr Bříza	Praha	3
Martin Škoula	Litoměřice	3
Ladislav Šmíd	Frýdland	3
Tomáš Hertl	Praha	3
Libor Procházka	Vlašim	3
Antonín Stavjaňa	Zlín	3
Lukáš Krajíček	Prostějov	3
Bedřich Ščerban	Jihlava	3
Aleš Hemský	Pardubice	3
Jiří Hudler	Olomouc	3
Jaroslav Balaštík	Uherské Hradiště	3
Roman Horák	České Budějovice	3
Petr Sýkora 1976	Plzeň	3
Michal Barinka	Vyškov	3
Martin Havlát	Mladá Boleslav	3
Dušan Salfický	Chrudim	3
Radek Bělohlav	České Budějovice	3
Filip Kuba	Ostrava	3
Alexander Salák	Strakonice	3
Jiří Veber	Praha	3
Radek Martínek	Havlíčkův Brod	3
Jan Kovář	Písek	3
Zdeněk Kutlák	České Budějovice	3
Josef Vašíček	Havlíčkův Brod	3
Jakub Nakládal	Pardubice	3
Drahomír Kadlec	Příbram	3
Michal Sýkora	Pardubice	3
Martin Hanzal	Písek	2
