name	city	starts
Roman Hamrlík	Zlín	2
Vladimír Sobotka	Třebíč	2
Martin Zaťovič	Přerov	2
Rostislav Klesla	Nový Jičín	2
Michael Frolík	Kladno	2
Jaroslav Bednář	Praha	2
Jakub Petružálek	Litvínov	2
Jan Tomajko	Olomouc	2
Michal Broš	Olomouc	2
Roman Polák	Ostrava	2
Michal Jordán	Zlín	2
Tomáš Fleischmann	Kopřivnice	2
Michal Rozsíval	Vlašim	2
Martin Hosták	Hradec Králové	2
Michal Sup	Praha	2
Václav Varaďa	Vsetín	2
Milan Hejduk	Ústí nad Labem	2
Lukáš Kašpar	Most	2
David Krejčí	Šternberk	2
Robert Lang	Teplice	2
Miloš Holaň	Bílovec	2
Marek Pinc	Most	2
Ondřej Kratěna	Čeladná	2
Roman Šimíček	Ostrava	2
Jan Čaloun	Ústí nad Labem	2
Rostislav Olesz	Bílovec	2
Otakar Janecký	Pardubice	2
Aleš Kotalík	Jindřichův Hradec	2
Otakar Vejvoda	Kladno	2
Tomáš Mojžíš	Kolín	2
Jiří Trvaj	Havířov	2
Tomáš Sršeň	Olomouc	2
Pavel Francouz	Plzeň	2
Jakub Krejčík	Praha	2
Jan Kolář	Pardubice	2
Vladimír Hudáček	České Budějovice	2
Kamil Kašťák	Most	2
Martin Růžička	Beroun	2
Jiří Doležal	Velké Popovice	2
Petr Vampola	Ždár nad Sázavou	2
Petr Franěk	Most	1
Pavel Kolařík	Vyškov	1
Marián Kacíř	Hodonín	1
Karel Pilař	Praha	1
Jan Hrdina	Hradec Králové	1
Petr Kadlec	Praha	1
Roman Málek	Praha	1
Ivo Prorok	Karviná	1
Stanislav Mečiar	Brandýs nad Labem	1
Petr Kuchyňa	Jihlava	1
Aleš Flašar	Ostrava	1
Petr Mrázek	Ostrava	1
Václav Skuhravý	Slaný	1
Petr Nedvěd	Liberec	1
Petr Gřegořek	Český Těšín	1
Jakub Kindl	Šumperk	1
Martin Štěpánek	Ústí nad Labem	1
Petr Rosol	Znojmo	1
Jan Bulis	Pardubice	1
Ladislav Kohn	Uherské Hradiště	1
Pavel Geffert	Praha	1
Petr Sýkora 1978	Pardubice	1
Tomáš Kucharčík	Vlašim	1
Petr Tejkl	Pardubice	1
Ivan Vlček	Plzeň	1
Ladislav Lubina	Dvůr Králové nad Labem	1
Václav Burda	neznámé	1
Martin Ševc	Kladno	1
Filip Novák	České Budějovice	1
Zdeněk Orct	Liberec	1
Vlastimil Kroupa	Most	1
Jiří Sekáč	Aš	1
Petr Hrbek	Praha	1
Jan Novák	Havlíčkův Brod	1
Jan Vopat	Most	1
Radek Bonk	Krnov	1
Milan Kraft	Plzeň	1
Radek Duda	Chodov	1
Patrik Štefan	Příbram	1
Leo Gudas	Bruntál	1
Rostislav Vlach	Přerov	1
Radek Hamr	Litoměřice	1
Stanislav Neckář	Písek	1
Jan Platil	Kladno	1
Pavel Janků	Šumperk	1
Radek Smoleňák	Praha	1
Tomáš Kapusta	Zlín	1
Radek Ťoupal	Písek	1
František Musil	Pardubice	1
Jiří Fischer	Hořovice	1
Tomáš Pöpperle	Broumov	1
Radovan Biegl	Hradec Králové	1
Pavel Trnka	Plzeň	1
Dominik Simon	Praha	1
Petr Buzek	Jihlava	1
Robert Kántor	Brno	1
Jaroslav Modrý	České Budějovice	1
Robert Kysela	Most	1
Miloslav Hořava	Kladno	1
Jiří Tlustý	Slany	1
Martin Špaňhel	Zlín	1
Lukáš Mensator	Sokolov	1
Vladimír Vůjtek	Ostrava	1
Lukáš Radil	Čáslav	1
Vojtěch Mozík	Praha	1
Marek Kvapil	Ilava	1
Jindřich Kotrla	Most	1
Ondřej Vitásek	Prostějov	1
Michal Kempný	Hodonín	1
Zdeněk Sedlák	Přerov	1
Petr Vrána	Štemberk	1
Petr Zámorský	Zlín	1
