name	lat	lon
Praha	50.075538	14.4378
Kladno	50.141699	14.106746
Zlín	49.224437	17.662763
Most	50.501555	13.632912
Pardubice	50.034309	15.781199
Ostrava	49.820923	18.262524
České Budějovice	48.975658	14.480255
Plzeň	49.738431	13.373637
Jihlava	49.398378	15.587041
Olomouc	49.593778	17.250879
Písek	49.303454	14.158029
Třebíč	49.214787	15.879552
Jindřichův Hradec	49.144482	15.006139
Šumperk	49.977841	16.971775
Prostějov	49.472449	17.106751
Ústí nad Labem	50.661116	14.053146
Havlíčkův Brod	49.604336	15.579655
Přerov	49.456479	17.45023
Hradec Králové	50.210361	15.825211
Litvínov	50.598426	13.610242
Litoměřice	50.53842	14.130546
Vlašim	49.706328	14.89881
Brno	49.19506	16.606837
Ždár nad Sázavou	49.564188	15.939407
Čeladná	49.548688	18.337603
Chrudim	49.949724	15.795058
Uherské Hradiště	49.059797	17.49585
Bílovec	49.756386	18.015819
Strakonice	49.260404	13.910308
Vyškov	49.277452	16.996099
Kolín	50.027329	15.202728
Vsetín	49.338925	17.993852
Liberec	50.76628	15.054339
Příbram	49.685432	13.998945
Hodonín	48.852939	17.126002
Slaný	50.230462	14.086944
Mladá Boleslav	50.413425	14.908438
Broumov	50.585658	16.331815
Boskovice	49.487512	16.659976
Tábor	49.412989	14.677466
Opava	49.94066	17.894799
Děčín	50.772556	14.212761
Ilava	48.996268	18.233281
Šternberk	49.730442	17.298895
Dvůr Králové nad Labem	50.43172	15.814027
Hořovice	49.835978	13.902689
Pelhřimov	49.430621	15.222983
Chodov	50.239672 12.746466
Frýdland	50.921396	15.079751
Sokolov	50.174529	12.659892
Karlovy Vary	50.231852	12.871962
Štemberk	50.143748	14.188007
Karviná	49.856652	18.543219
Bruntál	49.988177	17.463694
Beroun	49.967205	14.086284
Teplice	50.644458	13.835284
Havířov	49.780392	18.430625
Český Těšín	49.747044	18.623796
Kopřivnice	49.59947	18.14481
Velké Popovice	49.922521	14.63935
Rakovník	50.106123	13.739662
Čáslav	49.910895	15.390794
Rokycany	49.738097	13.592893
Krnov	50.090583	17.703068
Znojmo	48.855911	16.054268
Aš	50.223883	12.195013
Slany	50.230462	14.086944
neznámé	FAILED	FAILED
Brandýs nad Labem	50.186181	14.661997
Nový Jičín	49.594325	18.013536
